Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR8668755	65.89399718245215	50.0	74.47977032774406	75	30.0	89921353.0
SRR8668756	59.05638296198224	48.0	74.27136176491946	75	20.0	84483855.0
SRR8668757	56.27171289620192	47.0	74.47828267220119	75	20.0	95110159.0
SRR8668758	48.73720826058155	49.0	72.73567113313266	75	10.0	30161579.0
SRR8668759	50.82794296566836	57.0	72.67510869111962	75	40.0	5323802.0
SRR8668769	71.71708122692716	53.0	74.49919337120164	75	30.0	94251532.0
SRR8668771	63.81019030990686	52.0	74.51151436024564	75	30.0	64436537.0
SRR8668772	62.37434087264336	50.0	74.46793996753237	75	30.0	68179906.0
SRR8668773	62.23118774864832	50.0	74.46369312611812	75	30.0	69980123.0
SRR8668774	59.44554091232145	49.0	73.84977352599223	75	30.0	133387934.0
