"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"MCLACHLAN_DENTAL_CARIES_UP","MCLACHLAN_DENTAL_CARIES_UP",245,0.836545570626205,3.04284097987426,1e-10,3.4367816091954e-09,2.55474894131881e-09,1383,"tags=73%, list=9%, signal=67%","MMP1/IGKV1D-39/IGLC2/IGHV3-21/IGKV2D-28/IGHG1/IGKV4-1/IGLV2-14/IGKV3-20/CXCL9/IGKC/IGHV3-23/IGHM/IGHA1/JCHAIN/ADAMDEC1/IGHV1-69/MZB1/CCL18/CXCL13/CCL8/GZMB/IL6/IGHV3-20/CXCL8/IGHV4-61/CD79A/LYZ/S100A9/CCL3/RPS4Y1/CXCL1/CXCR4/SERPINA1/SLAMF8/DDX3Y/FPR1/MS4A1/IL1B/CXCL5/TREM1/S100A8/TRBC2/TRBC1/CCL5/CD48/CD53/SPP1/SAMSN1/PI3/TYMP/BCL2A1/KDM5D/SASH3/SRGN/MMP9/PIM2/ITGB2/CSF2RB/PLEK/CCR1/IFI30/ICAM1/TNFAIP6/C1QA/FCER1G/SOCS3/EIF1AY/PTPRC/SLC2A3/CTSS/KYNU/IL10RA/PLAUR/CLEC7A/CCR2/LAPTM5/FCGR2A/MSR1/HLA-DPA1/HLA-DRA/PLAC8/HLA-DQA1/SOD2/APOC1/CYBB/IRF8/RAC2/C3AR1/CORO1A/LCP2/TYROBP/C1QB/HLA-DMB/CYBA/HCK/PLA2G7/IL7R/IGFLR1/CYTIP/SLA/MS4A4A/CD14/CD27/VCAM1/EVI2A/HLA-DRB1/NCF4/CD84/BIRC3/HLA-DMA/LTB/ARPC1B/POU2AF1/LCP1/HLA-DPB1/LYN/MNDA/ALOX5/ACP5/CFB/CTSC/CD74/FCN1/TNFRSF1B/EVI2B/CHI3L1/RNASE6/CTSB/SEL1L3/CPVL/MS4A6A/CD1D/C5AR1/PTGER4/LY96/SELE/NCF2/HLA-DQB1/FKBP11/FCGR3B/NNMT/TIMP1/HCLS1/SCO2/UCP2/ALOX5AP/CCL2/CD4/SAT1/CD37/INHBA/STAB1/TNFAIP3/CD163/FGL2/PLAU/NAMPT/MT2A/ARHGDIB/CHI3L2/CTSH/RAB31/LRRC15/MTHFD2/IL11/SERPINE2/IRF4/BCL3/C4A/SFRP4/MT1G/MAN2B1/SLC7A11/PTGS2/CSF1R/CD209/ANPEP"
"REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL","REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL",158,0.868747621068196,3.02545221962151,1e-10,3.4367816091954e-09,2.55474894131881e-09,960,"tags=75%, list=6%, signal=71%","IGLC3/IGKV1-5/IGLV3-1/IGLV3-19/IGKV1D-39/IGKV1D-33/IGLV2-8/IGLC2/IGLV3-21/IGKV2D-28/IGLV2-23/IGKV3-11/IGKV4-1/IGLV2-14/IGHV4-34/IGKV3-20/IGLV1-44/IGHV3-23/IGHV3-53/FCGR1A/IGLV3-25/IGHV1-46/IGKV1-17/IGLV2-11/IGHV3-30/IGHV3-7/IGHV4-59/IGKV3-15/IGKV1-12/IGLV1-51/IGHV1-2/IGHV1-69/IGKV1D-12/IGHV3-11/IGKV1-16/IGHV3-33/IGLV1-40/IGLV1-47/IGHV2-5/IGKV1-39/IGLV6-57/FCGR3A/IGKV2-30/IGHV3-48/IGKV1-33/IGHV2-70/LILRB4/CD8A/IGLV7-43/IGKV3D-20/SLAMF7/LILRA3/CD300LF/CD300E/KLRC1/TREM1/SH2D1A/CD247/IGKV1D-16/SIGLEC7/CD3D/CD40LG/LILRB1/NCR1/KIR2DL4/LILRA4/ITGAL/LILRB2/CD226/CD96/ITGB2/PILRA/CD3G/KLRD1/CD8B/ICAM1/KLRB1/HCST/LILRB3/SIGLEC10/SIGLEC9/SLAMF6/SELL/CD3E/CD19/LAIR2/MICB/SH2D1B/LILRA5/TYROBP/CD300C/ICAM3/IFITM1/ITGA4/LILRA6/CRTAM/VCAM1/LILRA1/CLEC2D/TREM2/NCR3/JAML/OSCAR/LAIR1/ICAM5/HLA-F/ITGB7/CD1D/CD22/SIGLEC1/CD300A/KLRG1/CD40/HLA-A/B2M/CD33/LILRA2/HLA-B"
"REACTOME_FCERI_MEDIATED_NF_KB_ACTIVATION","REACTOME_FCERI_MEDIATED_NF_KB_ACTIVATION",114,0.890584991559175,2.99753070536108,1e-10,3.4367816091954e-09,2.55474894131881e-09,336,"tags=44%, list=2%, signal=43%","IGLC3/IGKV1-5/IGLV3-1/IGLV3-19/IGKV1D-39/IGKV1D-33/IGLV2-8/IGLC2/IGLV3-21/IGKV2D-28/IGLV2-23/IGKV3-11/IGKV4-1/IGLV2-14/IGHV4-34/IGKV3-20/IGLV1-44/IGHV3-23/IGHV3-53/IGLV3-25/IGHV1-46/IGKV1-17/IGLV2-11/IGHV3-30/IGHV3-7/IGHV4-59/IGKV3-15/IGKV1-12/IGLV1-51/IGHV1-2/IGHV1-69/IGKV1D-12/IGHV3-11/IGKV1-16/IGHV3-33/IGLV1-40/IGLV1-47/IGHV2-5/IGKV1-39/IGLV6-57/IGKV2-30/IGHV3-48/IGKV1-33/IGHV2-70/IGLV7-43/IGKV3D-20/CARD11/IGKV1D-16/PRKCQ/FCER1G"
"POOLA_INVASIVE_BREAST_CANCER_UP","POOLA_INVASIVE_BREAST_CANCER_UP",274,0.816502230078652,2.98690012599636,1e-10,3.4367816091954e-09,2.55474894131881e-09,1798,"tags=72%, list=11%, signal=64%","MMP1/IGLV3-19/IGHV3-21/IGHG1/IGHV4-34/CXCL10/CXCL9/TDO2/IGHV3-23/FCGR1A/IGHM/MMP12/MMP3/IGHV3-7/ADAMDEC1/CXCL11/IGHV1-69/CCL4/IGHV3-33/IGLV3-10/CCL18/FCGR3A/CXCL13/GZMK/CCL8/GZMB/IGHV3-20/IGHV4-61/CD79A/GZMA/LILRB4/LYZ/CCL3/AIM2/CXCR3/GPR171/GNLY/CD38/IGLV4-60/CXCR4/CD2/SLAMF8/IGKV1D-8/CD69/MS4A1/GBP1/TRAT1/TRBC2/TRBC1/CD48/CD53/SAMSN1/CD3D/LCK/LILRB1/BCL2A1/TFEC/CD52/KMO/SRGN/LILRB2/TCL1A/MMP9/SLC16A3/ITGB2/CSF2RB/PLEK/CCR1/IL2RG/IFI30/RSAD2/TNFAIP6/THEMIS2/FCER1G/GPR65/FPR3/PTPRC/CTSS/PLAUR/CLEC7A/GREM1/SERPINE1/CD86/ISG20/LAPTM5/CST7/FCGR2A/STAT4/SELL/PLAC8/HLA-DQA1/CD19/APOC1/IRF8/ITGAX/LCP2/CHIT1/HLA-DMB/LGALS2/TRAF3IP3/CCR7/PLA2G7/CD79B/CHST11/FCMR/SELPLG/TRDC/TRAC/ITGA4/LPXN/CYTIP/CH25H/SLA/MMP13/DOCK2/CD27/VCAM1/EVI2A/HLA-DRB1/ADAM12/CPNE7/AIF1/LTB/GLIPR1/LAT2/RGS4/IL32/CD6/MNDA/SP140/LST1/CTSC/SLC7A7/CD74/ITK/EVI2B/CEMIP/LGALS9/TRAF1/NPL/ARHGAP15/BCAT1/FAP/LY96/COTL1/SULF1/NCF2/RGS16/FKBP11/FCGR3B/CD40/HS3ST3A1/FN1/HCLS1/ADGRE2/GPR183/PSTPIP1/APOBEC3B/KIF11/BTK/INHBA/BLM/COL5A2/CD163/RASSF2/SOAT1/MMP11/MAP4K1/ARHGAP25/LAMP3/LRRC15/RHOF/MMP19/TNC/COL10A1/GRB2/CDH11/CKS2/STK17B/TNFSF4/COL11A1/PRR16/RRM2/TPK1/DLGAP5/SLC7A5/LRP8/ADCY7/COL6A3/PRKCB/NID2/BIRC5/LOXL1/AURKA/NUSAP1/CEP55"
"REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS","REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS",74,0.93806338923966,2.98459924065692,1e-10,3.4367816091954e-09,2.55474894131881e-09,378,"tags=74%, list=2%, signal=73%","IGLC3/IGKV1-5/IGLV3-1/IGLV3-19/IGKV1D-39/IGKV1D-33/IGLV2-8/IGLC2/IGLV3-21/IGHG2/IGKV2D-28/IGLV2-23/IGKV3-11/IGHG1/IGKV4-1/IGLV2-14/IGHV4-34/IGKV3-20/IGLV1-44/IGHV3-23/IGHV3-53/FCGR1A/IGLV3-25/IGHV1-46/IGKV1-17/IGLV2-11/IGHV3-30/IGHV3-7/IGHV4-59/IGKV3-15/IGHG4/IGKV1-12/IGLV1-51/IGHV1-2/IGHV1-69/IGKV1D-12/IGHV3-11/IGKV1-16/IGHV3-33/IGLV1-40/IGLV1-47/IGHV2-5/IGKV1-39/IGLV6-57/FCGR3A/IGKV2-30/IGHV3-48/IGKV1-33/IGHV2-70/IGLV7-43/IGKV3D-20/CD247/IGKV1D-16/CD3G/FCGR2A"
"REACTOME_FCGR_ACTIVATION","REACTOME_FCGR_ACTIVATION",62,0.954687058704619,2.95920605339856,1e-10,3.4367816091954e-09,2.55474894131881e-09,473,"tags=92%, list=3%, signal=90%","IGLC3/IGKV1-5/IGLV3-1/IGLV3-19/IGKV1D-39/IGKV1D-33/IGLV2-8/IGLC2/IGLV3-21/IGHG2/IGKV2D-28/IGLV2-23/IGKV3-11/IGHG1/IGKV4-1/IGLV2-14/IGHV4-34/IGKV3-20/IGLV1-44/IGHV3-23/IGHV3-53/FCGR1A/IGLV3-25/IGHV1-46/IGKV1-17/IGLV2-11/IGHV3-30/IGHV3-7/IGHV4-59/IGKV3-15/IGHG4/IGKV1-12/IGLV1-51/IGHV1-2/IGHV1-69/IGKV1D-12/IGHV3-11/IGKV1-16/IGHV3-33/IGLV1-40/IGLV1-47/IGHV2-5/IGKV1-39/IGLV6-57/FCGR3A/IGKV2-30/IGHV3-48/IGKV1-33/IGHV2-70/IGLV7-43/IGKV3D-20/CD247/IGKV1D-16/CD3G/FCGR2A/FGR/HCK"
"REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS","REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS",58,0.957478105791255,2.9218896567168,1e-10,3.4367816091954e-09,2.55474894131881e-09,456,"tags=91%, list=3%, signal=89%","IGLC3/IGKV1-5/IGLV3-1/IGLV3-19/IGKV1D-39/IGKV1D-33/IGLV2-8/IGLC2/IGLV3-21/IGHG2/IGKV2D-28/IGLV2-23/IGKV3-11/IGHG1/IGKV4-1/IGLV2-14/IGHV4-34/IGKV3-20/IGLV1-44/IGHV3-23/IGHV3-53/IGLV3-25/IGHV1-46/IGKV1-17/IGLV2-11/IGHV3-30/IGHV3-7/IGHV4-59/IGKV3-15/IGHG4/IGKV1-12/IGLV1-51/IGHV1-2/IGHV1-69/IGKV1D-12/IGHV3-11/IGKV1-16/IGHV3-33/IGLV1-40/IGLV1-47/IGHV2-5/IGKV1-39/IGLV6-57/IGKV2-30/IGHV3-48/IGKV1-33/IGHV2-70/IGLV7-43/IGKV3D-20/IGKV1D-16/C1QA/C1QC/C1QB"
"REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT","REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT",66,0.931664420299867,2.92054450907462,1e-10,3.4367816091954e-09,2.55474894131881e-09,456,"tags=83%, list=3%, signal=81%","IGLC3/IGKV1-5/IGLV3-1/IGLV3-19/IGKV1D-39/IGKV1D-33/IGLV2-8/IGLC2/IGLV3-21/IGHG2/IGKV2D-28/IGLV2-23/IGKV3-11/IGHG1/IGKV4-1/IGLV2-14/IGHV4-34/IGKV3-20/IGLV1-44/IGHV3-23/IGHV3-53/IGLV3-25/IGHV1-46/IGKV1-17/IGLV2-11/IGHV3-30/IGHV3-7/IGHV4-59/IGKV3-15/IGHG4/IGKV1-12/IGLV1-51/IGHV1-2/IGHV1-69/IGKV1D-12/IGHV3-11/IGKV1-16/IGHV3-33/IGLV1-40/IGLV1-47/IGHV2-5/IGKV1-39/IGLV6-57/IGKV2-30/IGHV3-48/IGKV1-33/IGHV2-70/IGLV7-43/IGKV3D-20/IGKV1D-16/GZMM/C1QA/C2/C1QC/C1QB"
"REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS","REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS",87,0.89900974820983,2.91865128331438,1e-10,3.4367816091954e-09,2.55474894131881e-09,473,"tags=67%, list=3%, signal=65%","IGLC3/IGKV1-5/IGLV3-1/IGLV3-19/IGKV1D-39/IGKV1D-33/IGLV2-8/IGLC2/IGLV3-21/IGHG2/IGKV2D-28/IGLV2-23/IGKV3-11/IGHG1/IGKV4-1/IGLV2-14/IGHV4-34/IGKV3-20/IGLV1-44/IGHV3-23/IGHV3-53/FCGR1A/IGLV3-25/IGHV1-46/IGKV1-17/IGLV2-11/IGHV3-30/IGHV3-7/IGHV4-59/IGKV3-15/IGHG4/IGKV1-12/IGLV1-51/IGHV1-2/IGHV1-69/IGKV1D-12/IGHV3-11/IGKV1-16/IGHV3-33/IGLV1-40/IGLV1-47/IGHV2-5/IGKV1-39/IGLV6-57/FCGR3A/IGKV2-30/IGHV3-48/IGKV1-33/IGHV2-70/IGLV7-43/IGKV3D-20/CD247/IGKV1D-16/CD3G/IL10/FCGR2A/FGR/HCK"
"HOLLERN_EMT_BREAST_TUMOR_DN","HOLLERN_EMT_BREAST_TUMOR_DN",120,-0.747895547471483,-2.90507040040158,1e-10,3.4367816091954e-09,2.55474894131881e-09,2344,"tags=76%, list=15%, signal=65%","HIP1R/ACOT1/FZD6/ELMO3/IDE/ZNF185/ACOT2/CALML3/STAP2/BLMH/TNK1/CLIC3/ELOVL7/PRSS8/STARD10/TMEM79/GRB7/WWC1/FAM83H/BCL11A/FXYD3/KIF21A/PATJ/SDR42E1/EPB41L5/PLEKHG6/CHDH/OVOL1/ESRP2/CBLC/PKP3/RHPN2/TMPRSS13/CKMT1B/GRHL1/MAP7/SPINT1/EPS8L1/EPS8L2/CLDN4/MYO5B/TMEM184A/DSG2/NIPAL2/GSDMA/CDH1/PLEKHH1/RAB25/CCDC120/KDF1/TFAP2C/MARVELD2/JUP/TJP3/SHROOM3/SLC5A9/C1orf210/DDR1/CRB3/AP1M2/ATP6V1C2/ELF5/BSPRY/RIPK4/CXADR/MAL2/ENDOU/IRF6/GRHL2/OCLN/NRTN/IL17RE/CELSR2/ESRP1/NECTIN4/KLC3/EPCAM/PTPRF/EVPL/ERBB3/SPTBN2/EPB41L4B/RNF43/EPPK1/DSP/EFNA3/CLDN1/POF1B/MYH14/KRT15/THRSP"
